Mix_ID,Cement_kg_m3,PET_kg_m3,FA_kg_m3,RHA_kg_m3,CA_kg_m3,Water_kg_m3,SP_kg_m3,CS_MPa,STS_MPa,FS_MPa,WA_percent,MoE_GPa,RCPT_Coulombs
M0,400,0,600,0,1200,160,4,67.45,3.47,5.45,0.85,41.06,1150
M1,380,20,540,60,1200,160,4,64.62,3.65,5.65,0.74,40.19,1110
M2,370,30,540,60,1200,160,4,68.73,3.73,5.76,0.69,41.45,1018
M3,360,40,540,60,1200,160,4,71.90,3.85,5.86,0.63,42.40,990
M4,380,20,525,75,1200,160,4,76.27,3.95,5.91,0.56,43.67,970
M5,370,30,525,75,1200,160,4,80.56,4.12,6.12,0.45,44.88,950
M6,360,40,525,75,1200,160,4,78.45,4.09,6.04,0.54,44.29,970
M7,380,20,510,90,1200,160,4,76.21,3.86,5.86,0.68,43.65,1070
M8,370,30,510,90,1200,160,4,73.62,3.77,5.72,0.85,42.90,1160
M9,360,40,510,90,1200,160,4,68.45,3.65,5.67,0.88,41.37,1197
